name,svga,name01_fontWeight,name01_fillColor,name01_strokeColor,name01_strokeWidth,name01_textShadow,name01_gradient_colors,name01_gradient_positions,name01_multiShadow,Username01_fontWeight,Username01_fillColor,Username01_strokeColor,Username01_strokeWidth,Username01_textShadow,Username01_gradient_colors,Username01_gradient_positions,Username01_multiShadow,Assistant_fontWeight,Assistant_fillColor,Assistant_strokeColor,Assistant_strokeWidth,Assistant_textShadow,Assistant_gradient_colors,Assistant_gradient_positions,Assistant_multiShadow,img_2103118107_fontWeight,img_2103118107_fillColor,img_2103118107_strokeColor,img_2103118107_strokeWidth,img_2103118107_textShadow,img_2103118107_gradient_colors,img_2103118107_gradient_positions,img_2103118107_multiShadow,img_2103118097_fontWeight,img_2103118097_fillColor,img_2103118097_strokeColor,img_2103118097_strokeWidth,img_2103118097_textShadow,img_2103118097_gradient_colors,img_2103118097_gradient_positions,img_2103118097_multiShadow,img_394_fontWeight,img_394_fillColor,img_394_strokeColor,img_394_strokeWidth,img_394_textShadow,img_394_gradient_colors,img_394_gradient_positions,img_394_multiShadow
D63,https://blog-1258489735.cos.ap-chengdu.myqcloud.com/other/avatar_frame_dar/D63.svga,700,,#FFF3B9,1,,#FFEABD|#FEFBD8|#FFFFFF|#FFF16A|#FFB87B|#FFE096|#FFFFFF,0|0.2019|0.56|0.58|0.6|0.7837|1,"0px 1px 0px #EF9A4B|0px 2px 6px rgba(0, 0, 0, 0.7)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D68,https://blog-1258489735.cos.ap-chengdu.myqcloud.com/other/avatar_frame_dar/D68.svga,700,,,,"0px 2px 6px rgba(0, 0, 0, 0.7)",#A0C8FA|#2D25CB|#5456F3,0.1154|0.5481|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D90,https://blog-1258489735.cos.ap-chengdu.myqcloud.com/other/avatar_frame_dar/D90.svga,700,,,,0px 2px 1.5px #694D41,#FFFFFF|#FFFFFF|#FDEA91|#FDEA91,0|0.1971|0.7981|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H11,https://blog-1258489735.cos.ap-chengdu.myqcloud.com/other/avatar_frame_dar/H11.svga,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D62,https://blog-1258489735.cos.ap-chengdu.myqcloud.com/other/avatar_frame_dar/D62.svga,700,,,,1px 3px 1px #000000,#FFF189|#FFC919|#FFA411,0|0.5|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dbaodao,https://blog-1258489735.cos.ap-chengdu.myqcloud.com/other/avatar_frame_dar/Dbaodao.svga,700,#FFDE45,,,0px 2.5px 2px #330703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dheijin,https://blog-1258489735.cos.ap-chengdu.myqcloud.com/other/avatar_frame_dar/Dheijin.svga,700,#FFFFFF,#D3A386,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dzijin,https://blog-1258489735.cos.ap-chengdu.myqcloud.com/other/avatar_frame_dar/Dzijin.svga,700,#FFDE45,,,,,,2px -2px 1px #FFFFFF|-1px 2px 1px #A97008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n01,https://blog-1258489735.cos.ap-chengdu.myqcloud.com/other/avatar_frame_dar/n01.svga,,,,,,,,,,,,,,,,,900,#FFFFFF,,,2px 3.5px 3px #C35806,,,,,,,,,,,,,,,,,,,,,,,,,,,
n02,https://blog-1258489735.cos.ap-chengdu.myqcloud.com/other/avatar_frame_dar/n02.svga,,,,,,,,,,,,,,,,,,,,,,,,,700,,,,1.5px 2px 2px #000000,#FFC21A|#FF9E1A|#FFFE69|#FFFE69,0|0.2|0.7|1,,,,,,,,,,,,,,,,,
n03,https://blog-1258489735.cos.ap-chengdu.myqcloud.com/other/avatar_frame_dar/n03.svga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700,,,,1.5px 2px 1px #0518AA,#FFFFFF|#61E5FF|#FFFFFF|#CDF7FF|#88EBFF|#FFFFFF,0|0.2692|0.476|0.6635|0.8|1,,,,,,,,,
n04,https://blog-1258489735.cos.ap-chengdu.myqcloud.com/other/avatar_frame_dar/n04.svga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n05,https://blog-1258489735.cos.ap-chengdu.myqcloud.com/other/avatar_frame_dar/n05.svga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700,,,,"0px 3px 0px rgba(0, 0, 0, 0.05)",#FFFFFF|#FFFFFF|#FABE91|#FABE91,0|0.4|0.8|1,
